"iso2c","country","year","Rep_GFDD.DI.01","Rep_GFDD.DI.02","Rep_GFDD.DI.03","Rep_GFDD.DI.04","Rep_GFDD.DI.05","Rep_GFDD.DI.06","Rep_GFDD.DI.07","Rep_GFDD.DI.08","Rep_GFDD.DI.11","Rep_GFDD.DI.12","Rep_GFDD.DI.13","Rep_GFDD.DI.14","Rep_GFDD.EI.08","Rep_GFDD.OI.02","Rep_GFDD.SI.02","Rep_GFDD.SI.03","Rep_GFDD.SI.04","Rep_GFDD.SI.05","Rep_GFDD.SI.07"
"DZ","Algeria",1998,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"DZ","Algeria",1999,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"DZ","Algeria",2000,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0
"DZ","Algeria",2001,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0
"DZ","Algeria",2002,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"DZ","Algeria",2003,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0
"DZ","Algeria",2004,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0
"DZ","Algeria",2005,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0
"DZ","Algeria",2006,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0
"DZ","Algeria",2007,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0
"DZ","Algeria",2008,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"DZ","Algeria",2009,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0
"DZ","Algeria",2010,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0
"DZ","Algeria",2011,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"AR","Argentina",1998,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"AR","Argentina",1999,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"AR","Argentina",2000,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
"AR","Argentina",2001,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
"AR","Argentina",2002,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
"AR","Argentina",2003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AR","Argentina",2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"AR","Argentina",2005,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"AR","Argentina",2006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AR","Argentina",2007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AR","Argentina",2008,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"AR","Argentina",2009,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"AR","Argentina",2010,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"AR","Argentina",2011,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"AU","Australia",1998,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"AU","Australia",1999,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"AU","Australia",2000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2001,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2002,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2003,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2004,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2005,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2006,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2007,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2010,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"AU","Australia",2011,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
"AT","Austria",1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"AT","Austria",1999,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0
"AT","Austria",2000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"AT","Austria",2001,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"AT","Austria",2002,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2003,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2004,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2005,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2006,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2007,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2008,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2009,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2010,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"AT","Austria",2011,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"BS","Bahamas, The",1998,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"BS","Bahamas, The",1999,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"BS","Bahamas, The",2000,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"BS","Bahamas, The",2001,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"BS","Bahamas, The",2002,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"BS","Bahamas, The",2003,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"BS","Bahamas, The",2004,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0
"BS","Bahamas, The",2005,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"BS","Bahamas, The",2006,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0
"BS","Bahamas, The",2007,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0
"BS","Bahamas, The",2008,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0
"BS","Bahamas, The",2009,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"BS","Bahamas, The",2010,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"BS","Bahamas, The",2011,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"BE","Belgium",1998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1
"BE","Belgium",1999,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1
"BE","Belgium",2000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2001,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2002,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2003,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2004,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2005,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2006,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2007,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2008,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2009,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2010,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BE","Belgium",2011,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"BA","Bosnia and Herzegovina",1998,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"BA","Bosnia and Herzegovina",1999,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"BA","Bosnia and Herzegovina",2000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1
"BA","Bosnia and Herzegovina",2001,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
"BA","Bosnia and Herzegovina",2002,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
"BA","Bosnia and Herzegovina",2003,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
"BA","Bosnia and Herzegovina",2004,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
"BA","Bosnia and Herzegovina",2005,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
"BA","Bosnia and Herzegovina",2006,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
"BA","Bosnia and Herzegovina",2007,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"BA","Bosnia and Herzegovina",2008,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"BA","Bosnia and Herzegovina",2009,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"BA","Bosnia and Herzegovina",2010,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"BA","Bosnia and Herzegovina",2011,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"BR","Brazil",1998,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
"BR","Brazil",1999,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
"BR","Brazil",2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BR","Brazil",2001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BR","Brazil",2002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BR","Brazil",2003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BR","Brazil",2004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BR","Brazil",2005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BR","Brazil",2006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BR","Brazil",2007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BR","Brazil",2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BR","Brazil",2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BR","Brazil",2010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BR","Brazil",2011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BG","Bulgaria",1998,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1
"BG","Bulgaria",1999,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"BG","Bulgaria",2000,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BG","Bulgaria",2001,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BG","Bulgaria",2002,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BG","Bulgaria",2003,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BG","Bulgaria",2004,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BG","Bulgaria",2005,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BG","Bulgaria",2006,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BG","Bulgaria",2007,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BG","Bulgaria",2008,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"BG","Bulgaria",2009,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
"BG","Bulgaria",2010,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1
"BG","Bulgaria",2011,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1
"CA","Canada",1998,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"CA","Canada",1999,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"CA","Canada",2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA","Canada",2001,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA","Canada",2002,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA","Canada",2003,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA","Canada",2004,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA","Canada",2005,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA","Canada",2006,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA","Canada",2007,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA","Canada",2008,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CA","Canada",2009,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1
"CA","Canada",2010,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1
"CA","Canada",2011,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1
"KY","Cayman Islands",1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KY","Cayman Islands",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CL","Chile",1998,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1
"CL","Chile",1999,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2000,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2001,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2002,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2003,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2004,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2005,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2006,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2007,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2008,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2009,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1
"CL","Chile",2010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CL","Chile",2011,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"CN","China",1998,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0
"CN","China",1999,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0
"CN","China",2000,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0
"CN","China",2001,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0
"CN","China",2002,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0
"CN","China",2003,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1
"CN","China",2004,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1
"CN","China",2005,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"CN","China",2006,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"CN","China",2007,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"CN","China",2008,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CN","China",2009,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CN","China",2010,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"CN","China",2011,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"CO","Colombia",1998,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",1999,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2000,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
"CO","Colombia",2001,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2002,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2003,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2004,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CO","Colombia",2011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",1998,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
"HR","Croatia",1999,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
"HR","Croatia",2000,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"HR","Croatia",2001,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"HR","Croatia",2002,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2003,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2004,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2005,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2006,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2007,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2008,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2009,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2010,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"HR","Croatia",2011,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CZ","Czech Republic",1998,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1
"CZ","Czech Republic",1999,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
